Date,Close,%Change,,,,,
2014-04-07,1845.040039,-1.0750112523,,0.2853326373,-0.1126449824,-1.2537288155,-1.0750112523
2014-04-08,1851.959961,0.3750553838,,-0.1126449824,-1.2537288155,-1.0750112523,0.3750553838
2014-04-09,1872.180054,1.0918212826,,-1.2537288155,-1.0750112523,0.3750553838,1.0918212826
2014-04-10,1833.079956,-2.0884795731,,-1.0750112523,0.3750553838,1.0918212826,-2.0884795731
2014-04-11,1815.689941,-0.9486773855,,0.3750553838,1.0918212826,-2.0884795731,-0.9486773855
2014-04-14,1830.609985,0.8217286257,,1.0918212826,-2.0884795731,-0.9486773855,0.8217286257
2014-04-15,1842.97998,0.6757307729,,-2.0884795731,-0.9486773855,0.8217286257,0.6757307729
2014-04-16,1862.310059,1.0488491036,,-0.9486773855,0.8217286257,0.6757307729,1.0488491036
2014-04-17,1864.849976,0.1363852914,,0.8217286257,0.6757307729,1.0488491036,0.1363852914
2014-04-21,1871.890015,0.3775123517,,0.6757307729,1.0488491036,0.1363852914,0.3775123517
2014-04-22,1879.550049,0.4092138928,,1.0488491036,0.1363852914,0.3775123517,0.4092138928
2014-04-23,1875.390015,-0.2213313767,,0.1363852914,0.3775123517,0.4092138928,-0.2213313767
2014-04-24,1878.609985,0.1716960192,,0.3775123517,0.4092138928,-0.2213313767,0.1716960192
2014-04-25,1863.400024,-0.8096391013,,0.4092138928,-0.2213313767,0.1716960192,-0.8096391013
2014-04-28,1869.430054,0.3236036236,,-0.2213313767,0.1716960192,-0.8096391013,0.3236036236
2014-04-29,1878.329956,0.4760756885,,0.1716960192,-0.8096391013,0.3236036236,0.4760756885
2014-04-30,1883.949951,0.2992016915,,-0.8096391013,0.3236036236,0.4760756885,0.2992016915
2014-05-01,1883.680054,-0.0143261237,,0.3236036236,0.4760756885,0.2992016915,-0.0143261237
2014-05-02,1881.140015,-0.1348445026,,0.4760756885,0.2992016915,-0.0143261237,-0.1348445026
2014-05-05,1884.660034,0.1871215844,,0.2992016915,-0.0143261237,-0.1348445026,0.1871215844
2014-05-06,1867.719971,-0.8988391909,,-0.0143261237,-0.1348445026,0.1871215844,-0.8988391909
2014-05-07,1878.209961,0.5616468294,,-0.1348445026,0.1871215844,-0.8988391909,0.5616468294
2014-05-08,1875.630005,-0.1373624916,,0.1871215844,-0.8988391909,0.5616468294,-0.1373624916
2014-05-09,1878.47998,0.1519476119,,-0.8988391909,0.5616468294,-0.1373624916,0.1519476119
2014-05-12,1896.650024,0.9672737635,,0.5616468294,-0.1373624916,0.1519476119,0.9672737635
2014-05-13,1897.449951,0.0421757831,,-0.1373624916,0.1519476119,0.9672737635,0.0421757831
2014-05-14,1888.530029,-0.4701005154,,0.1519476119,0.9672737635,0.0421757831,-0.4701005154
2014-05-15,1870.849976,-0.9361806658,,0.9672737635,0.0421757831,-0.4701005154,-0.9361806658
2014-05-16,1877.859985,0.3746964797,,0.0421757831,-0.4701005154,-0.9361806658,0.3746964797
2014-05-19,1885.079956,0.384478665,,-0.4701005154,-0.9361806658,0.3746964797,0.384478665
2014-05-20,1872.829956,-0.6498398098,,-0.9361806658,0.3746964797,0.384478665,-0.6498398098
2014-05-21,1888.030029,0.8116098822,,0.3746964797,0.384478665,-0.6498398098,0.8116098822
2014-05-22,1892.48999,0.2362229907,,0.384478665,-0.6498398098,0.8116098822,0.2362229907
2014-05-23,1900.530029,0.4248391824,,-0.6498398098,0.8116098822,0.2362229907,0.4248391824
2014-05-27,1911.910034,0.5987805942,,0.8116098822,0.2362229907,0.4248391824,0.5987805942
2014-05-28,1909.780029,-0.1114071772,,0.2362229907,0.4248391824,0.5987805942,-0.1114071772
2014-05-29,1920.030029,0.5367110266,,0.4248391824,0.5987805942,-0.1114071772,0.5367110266
2014-05-30,1923.569946,0.1843677936,,0.5987805942,-0.1114071772,0.5367110266,0.1843677936
2014-06-02,1924.969971,0.0727826406,,-0.1114071772,0.5367110266,0.1843677936,0.0727826406
2014-06-03,1924.23999,-0.0379216825,,0.5367110266,0.1843677936,0.0727826406,-0.0379216825
2014-06-04,1927.880005,0.1891663732,,0.1843677936,0.0727826406,-0.0379216825,0.1891663732
2014-06-05,1940.459961,0.6525279565,,0.0727826406,-0.0379216825,0.1891663732,0.6525279565
2014-06-06,1949.439941,0.462775846,,-0.0379216825,0.1891663732,0.6525279565,0.462775846
2014-06-09,1951.27002,0.0938771676,,0.1891663732,0.6525279565,0.462775846,0.0938771676
2014-06-10,1950.790039,-0.0245983895,,0.6525279565,0.462775846,0.0938771676,-0.0245983895
2014-06-11,1943.890015,-0.353704082,,0.462775846,0.0938771676,-0.0245983895,-0.353704082
2014-06-12,1930.109985,-0.7088893864,,0.0938771676,-0.0245983895,-0.353704082,-0.7088893864
2014-06-13,1936.160034,0.3134561785,,-0.0245983895,-0.353704082,-0.7088893864,0.3134561785
2014-06-16,1937.780029,0.0836705113,,-0.353704082,-0.7088893864,0.3134561785,0.0836705113
2014-06-17,1941.98999,0.2172569093,,-0.7088893864,0.3134561785,0.0836705113,0.2172569093
2014-06-18,1956.97998,0.7718881187,,0.3134561785,0.0836705113,0.2172569093,0.7718881187
2014-06-19,1959.47998,0.1277478577,,0.0836705113,0.2172569093,0.7718881187,0.1277478577
2014-06-20,1962.869995,0.1730058503,,0.2172569093,0.7718881187,0.1277478577,0.1730058503
2014-06-23,1962.609985,-0.0132464198,,0.7718881187,0.1277478577,0.1730058503,-0.0132464198
2014-06-24,1949.97998,-0.6435310681,,0.1277478577,0.1730058503,-0.0132464198,-0.6435310681
2014-06-25,1959.530029,0.4897511307,,0.1730058503,-0.0132464198,-0.6435310681,0.4897511307
2014-06-26,1957.219971,-0.1178883694,,-0.0132464198,-0.6435310681,0.4897511307,-0.1178883694
2014-06-27,1960.959961,0.1910868505,,-0.6435310681,0.4897511307,-0.1178883694,0.1910868505
